Title,Storyline
# 1 Fan,N/A
#AAY,"When a man comes home between covid lockdowns, he connects with old friends and falls for a woman who feels influenced by her caste, while finding love."
#lovemyselfie,"When acclaimed Adele Swan discovers that her young lover has squandered all her savings and is sleeping with a millennial, she knows it's showtime."
(Un)lucky Sisters,"After their father's death, estranged sisters stumble upon his hidden fortune, forcing them to decide whether to keep the money or do the right thing."
00:00 Absurdo Error Andinista,"Jorge, a mountaineer, suffered a fall. He uses a stroller and two crutches to walk. At home, he looks through the window and calls friends and neighbors. Domitila, the cook, talks to him. He struggles with tasks. Healed, he quits climbing."
1 Bad Azz Day,The day goes from bad to worse for a young delivery driver. As he tries to navigate life in the southern Alabama city of Mobile.
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
10 Pasimatymu,"Justelis is a young, good-looking, friendly IT professional who, after drinking too much alcohol at the company Christmas party, accidentally spills his heart to one of his best friends and reveals his deepest secret - he's still a virgin."
10 Things about Sally,Sally feels disconnected from life until she is convinced by her psychiatrist and her friends that dating is the answer.
10 Years A Dog,A movie star dog suddenly dies leaving his dog handler to deal with the aftermath.
100 di questi anni,N/A
100 litraa sahtia,"Two middle-aged sisters in a Finnish village promise to brew beer for a wedding but drink their entire batch. In a hilarious race against time, they struggle with hangovers while trying to make more beer and save their reputations."
1040 km,"In the rehab center of Bastau village, Tailgate gets acquainted with the intern Aliya. He falls in love with her, but cannot tell her about it, for fear of her rejection."
12 Baes of Christmas,"Simone's perfect life unravels after her boyfriend cheats. She loses credibility but her friends convince her to embark on a 'ho phase', hilariously navigating the dating world to find a new Christmas romance."
12 Million Dollar Movie on Paper,N/A
14 Days to Feel Better,"Ambitious executive Maxime is headed for burnout days before his wedding to the boss's daughter. His brother-in-law sends him to a retreat led by unusual ""healers."" Maxime faces 14 days of bizarre new age activities that test his beliefs."
1995,A man embarks on a journey to shoot 20 short films around the world for a reality series.
2 Fingers Honey 2,"The sequel to the movie ""2 Fingers Honey"" by Ermal Mamaqi. The adventures of the newly married couple continue. This time, they leave for a family vacation to Turkey but mix up their plane tickets and end up at the wrong airport."
20 Jaar Het Eiland,N/A
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
200KG Vampire,"The residents of Kampung Terbalik become victims of attacks by Pontianak Melati and Pontianak Mewangi, who are constantly hungry. The situation becomes even more chaotic when the villagers mistakenly believe that they are blood-sucking pontianaks, causing many villagers to fall into comas."
2015: Future Uncertain,"In the year 2015, a disgraced space commander stumbles upon a top-secret mission to save planet Earth from uncertainty."
2020,N/A
21 Numara: Askin Tadi,"Melike is a young woman who works as a food critic in a magazine. Melike, who left work, goes to Bodrum after receiving a phone call. Melike's path crosses with chef Aydin in Bodrum."
23 Horas,N/A
2nd Miracle in Cell No. 7,"Two years have passed, and Kartika lives with Hendro and Linda. However, when Hendro agrees to adopt Kartika, the Social Service prevents it. The inmates in cell No. 7 and Hendro decide to fight for justice in their own way."
3 Schmucks,"Three morally questionable friends wreak havoc across Manhattan with their selfish schemes and deranged attempts to help each other, spiraling into consequences they absolutely deserve."
3 Strikes You're Dead,"Notorious hitman, Vinny ""The Slugger"" Barnadi, comes back from the dead every 25 years on Halloween night to kill 3 more victims."
3. Gun,"Elya, who is a gastronomy graduate from Izmir, wants to pursue an academic career and find her soulmate. She meets Semih through social media and finds herself in the middle of an interesting situation."
30 anni di meno,N/A
30 to 45,A filmmaker with limited success tries to survive between projects as his situation becomes increasingly uncertain.
35-Chinna Katha Kaadu,"Revolves around a young mother facing challenges when her son fails to secure passing marks, igniting events that test the family's resilience and unity."
3rd Place,N/A
4 Zéros,"Sylvie Colonna, president of the football club of Haricots d'Arpajon, has remade her life with José Pinto. Their son, Manu, a somewhat lost thirty-something, dreams of becoming a player agent."
404 Run Run,"Nakrob, a young real estate swindler, discovers an abandoned hillside hotel by the beach. Seeing an opportunity, he decides to turn it into a luxury hotel scam."
4GUYS&ACABIN,4 best friends goes on a vacation to a cabin. The unexpected happens. One of there friends have it in for them.
4PM,A suspense thriller depicting a peaceful couple's daily life slowly turning into a nightmare due to a neighbor who visits every day at 4pm.
4th Wall Players Presents: Tartuffe,Orgon stubbornly ignores the constant warnings from his family and is blindsided once his beloved Tartuffe robs him and his family of all their wealth.
50 States,"Based off the stereotypes of all fifty of the American United States, '50 States' is an anthology feature of 57 sketches, each one focusing on a specific state, region or theme. Riley James Thorpe single-handedly wrote, directed, starred in, edited, and produced the whole series which was posted one sketch at a time on social media platforms. On these platforms, the whole series garnered hundreds of thousands of views."
50 km/h,"After the death of their father, two brothers separated because of a conflicted relationship between the two, meet at his funeral and it is the perfect opportunity for them to face the demons of the past."
6 Parents Vs 2 Secret Fake Parents,N/A
60 Miles North,"After losing the role of a lifetime, an aspiring actor retreats to his hometown. When he encounters a woman who has Lyme disease, an unexpected friendship develops, forcing them both to make life-altering decisions."
7 Day Fast,"Embark on Nathan Pelle's transformative fasting journey, navigating challenges and revelations. Witness the physical and mental metamorphosis, revealing newfound resilience and a profound mind-body connection."
7 Days Without Sex,"After a wild party night, Richie visits the clinic and receives some devastating news that could destroy his 3-year relationship with his girlfriend Mariah. With the help of his best friend Reiko, Richie tries to not have sex for 7 days."
7 Days to Get Rid of My Ex,N/A
7 Vidas,"Un gato extraviado por una confusión, un fumigador que llega a un edificio inteligente, encargados de edificios muy extraños, todos confluye en una comedia inimaginable."
"7 dney, 7 nochey","The once friendly and loving Gureev family finds itself on the verge of divorce. Spouses Olga and Sergey have moved away from each other, and children Anton and Nastya worry about their parents. Sergey, a fashion photographer, receives an assignment to fly to an exhibition. He is trying to cancel the business trip because it is Nastya's birthday. Olga, once again disappointed in her husband's actions, is ready to file for divorce... But eight-year-old Nastya, their daughter, buys a trip to Armenia for the whole family with the donated money. Fun adventures await the Gureev family, including an immersion in the flavor of a local wedding, which is celebrated for just 7 days and 7 nights. They will also pass their own tests, which will help them understand what is most valuable and important in this life."
80 Plus,"Helene, a once celebrated theater diva, and Toni, a former nurse couldn't be more different. Together, they embark on a journey to Switzerland. A tragicomic road movie in which the limit of ""frailty"" creates entirely new possibilities."
8th Street Menace,"Mitchell ""Menace"" Dubois, a Métis slacker with a heart of gold, attempts to achieve his dreams of becoming a big time rapper in Saskatoon, Saskatchewan with some help from his cuzzin and ragtag group of friends, lovers, and enemies."
9 Lives,Dark. Comedic. Queer. Follow the journey of Clara and June as they navigate a bizarre night together thanks to an unlikely hero: a dead cat named Beans.
99 Problems of Yellow,Two women in their prime must fight against society's beauty standards and strive for self-acceptance.
A Bet Between Friends,"Old friends meet at a class reunion. Having a great time, and feeling in their hearts that they need to change their lives, the friends make a bet. Will they still remain friends after all this?"
A Blissful Filmmaker Known as Karl Marx,Karl Marx lives again in a new body. He wants to be famous and rich in the film industry. He calls Friedrich and leaves him messages explaining his plan. Karl will direct movies that make people sleep and become 'The Master of Boredom.'
A Brooklyn Love Story,"A longtime family-owned business gets pressured to sell to gentrify the neighborhood until a local loving mobster concocts a crazy plan to save the day, clearing the way for two people searching for love to find their everlasting."
A Cheesy Christmas,"A recovered VHS tape that still holds the home video recording of A Cheesy Christmas, a romantic comedy that first premiered in 1994 on channel RDZ. Still has the ads, but what a nostalgic time."
