Title,Storyline
(Pri)sons,"When an underground marketplace of illegal activities is besieged by an army of bloodthirsty assassins, a ragtag group of criminals must band together to fight for survival."
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story."
12 Hours on the Streets,"Mack who on a cold morning, bombs into hard drugs owned by a highly profiled media personality. After being rejected at many sales point, he makes a hasty decision. Unfortunately, these drugs get missing, his life is hunted."
12 Million Dollar Movie on Paper,N/A
2 Days in Quito,"A young taxi driver desperate to change his stars, earns a life changing opportunity, but when all is not as it seems, he finds his whole world irreparably altered in two eventful days."
20.10.20 - Flugten Fra Herstedvester,"In 2020, convicted murderer Peter Madsen escapes from Herstedvester Prison in Albertslund. This documentary takes you through what happened, and how it was possible for Peter Madsen to escape one of the most secured prisons in Denmark."
2000s: Bad Fellas,"Four friends become members of a criminal group. The guys make their way in the criminal world and sink deeper and deeper into it, but a chain of fatal events with criminal showdowns, shootings and police raids put the lives of the protagonists on the line. The 2000s is a time of changes and the beginning of a new stage."
"3 Days, 3 Murders","If you are a killer, you will stay and if you are killed, you will leave this house and the world very soon. Every sin prolongs your life."
4 Faces,"Having served 20 years of a 25 year prison sentence for the murder of his wife, Old man regains his freedom, thanks to an early release. The first thing he wants to do is to meet the estranged members of his family for one last dinner gathering. Old man is keen to make up for the mistakes of his past and approach his new-found freedom with maturity. However, Old man sees that there is bad blood between everyone in his family and, most shocking of all, he learns that the woman he once loved has cheated on him with his closest kin. In utter despair, Old man, now 60, must decide whether to commit another murder and go back to prison, or embrace his religion, take refuge in God and abandon his family for once and for all."
4N6,"While enduring constant harassment from an authoritative police officer, Naisha and her colleague team up to solve cases."
5D,Centers on a CCB officer investigating a series of murders in Bengaluru that shook the police department. Harsh flashbacks expose the victims' hidden dark sides.
5lbs of Pressure,"Trying to start over, Adam searches for redemption as he returns to his old neighborhood to put to rest his demons while the brother of the man he killed seeks revenge."
7vens Law,"""7vens Law"" follows Seven Gaines, whose only son is killed by a rogue cop. Forming a militant group with others facing similar losses, they seek justice, blurring the lines between justice and revenge, in a deeply divided society."
9 Windows,"After a tragic accident that killed her parents, Liza is unable to walk and spends her days trolling vloggers. When she witnesses a murder online, the police dismisses it as a hoax, and it's up to Liza to find the killer."
A Bronx Tale: The Original One Man Show,"One man lives in the neighborhood, another man owns it. A devoted father battles the local crime boss for the love of his son"
A Brothers Bond,"Tom and Danny, brothers, get entangled in the criminal underworld. They face dangers, self-discovery, and struggle with the path they've chosen, leading to consequences from their involvement in crime and inability to turn back."
A Day for Driving,"When Emilio engages with an unknown caller, his dull existence suddenly becomes a life or death rush, and driving may be his only shot at survival."
A Frozen Rage,"When he accidentally found that the oil thief was the driver who caused his younger brother to become disabled, an accident involved him in dispute with oil thieves. He bravely faced it, became a hero in the fight against oil theft."
A Gangster's Kiss,"When actor Jack is cast in a new 'gangster film,' he asks his life-long friend Danny to shadow 'the family' in hilarious and deadly circumstances."
A Grain of Salt,"Amidst a political campaign to represent his people in a post-WWII British Government, a Punjabi community leader faces unexpected opposition from a member of his own flesh and blood."
A Hateful Enemy,"Chase returns home from prison with plans to live a new life. Meanwhile, a friend turned enemy wants a debt paid that Chase cannot make."
A Hustler's Son 2,N/A
A Place Called Silence,"Chen Yutong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater violence."
A Place Under the Sun,"Shot on iPhone 14 Pro Max, three best friends host a farewell barbecue before starting new chapters in their lives. The celebration quickly unravels when an uninvited stranger arrives, triggering unexpected revelations and hidden secrets."
A Question of Guilt,"An investigative journalist risks her life working outside the law to clear her brother of a murder, despite putting others in deadly jeopardy."
A Reel Heist,"A group of teenagers making a no-budget heist movie are forced to pull off a genuine heist, when the memory card containing their film is taken by the callous manager of a shopping mall."
A Valentine's Day,This film based on honest police officer.
A-Side: Suburban,N/A
AK47,N/A
Aaro,N/A
Ab Hoga Insaaf,"After cutting Aastha into 35 pieces in the name of Love Jihad, Aastha's father gives a message to such terrorists, now justice will be done."
Abduction Chronicles,"Based on true events, Abduction Chronicles gives a first-person point of view of the horror and violence that goes along with human trafficking in the US."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Abnormal: Buas,A secret society that developed a superhuman program to be their spies and assassins. One of the superhumans escaped and took refuge in a house where a family lives. Things went out of hand when three robbers broke into the house.
Above the Trees,"After a deadly assault in the northwest leaves a good man in a coma, a local boxer is charged. Ensemble follows a mosaic of people over two years who are inextricably linked to the crime as the criminal trial unfolds in Jackson County."
Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Abudeka Is Back,"Two ex-detectives return to Yokohama from New Zealand. While investigating a lawyer's murder and meeting Fei Long, they search for a client's missing mother amid a terrorist threat."
Accident or Conspiracy: Godhra,"Based on the Godhra train burning incident and riots in 2002, focusing on the Nanavati commission enquiry and report."
Against the Spread,"In the rural South, a down-and-out gambling addict reignites a deep-rooted rivalry with a ruthless loan shark to finance his nimwitted nephew's half-baked scheme."
Agent Jayne,"The most challenging mission of a female agent to save the youth from deadly drugs. This is a story about a female agent who struggles to save the suffering youth from a peddler, a mastermind and whistle stopper."
Agontuk,N/A
Ahrub,N/A
Ain't Two Men the Same,A young woman must defend her home from a pair of bank robbers on the run from the law.
Al-Shifa Hospital: The Crimes They Tried to Bury,N/A
Alchemy of Solitude,Activists turned assassins try to end a race war but are forced to choose between honoring their ancestors or losing themselves.
All Suspects,"A policeman on leave stays in the ""Wuzhixiang"" B&B, with detective novelist Mengzhu, a homeless man, and a pianist. As the B&B owner and waitress both die, the identities of all become confusing. All of them are suspects and detectives."
All That Glitters,A reserved student gets thrown into the mysterious drug culture hidden beneath his high school.
Aloha Malandro,"Jairo dreams of a life without much effort. The opportunity arises when his half-brother, gets involved with the sister of smuggler. He sees the perfect chance to rob the guy, but he didn't anticipate falling in love."
Amish Affair,"A charismatic Amish leader, hires Hannah to help with his ailing wife. A spark ignites their secret relationship, but when Aaron's wife dies under suspicious circumstances, she is framed for murder and fights to prove her innocence."
Among Neighbors,"In a small Polish town where a dark history has been silenced, an eyewitness to murder speaks out in search of the Jewish boy she loved."
Amongst the Wolves,"Danny, an ex-soldier homeless in Dublin, meets Will, a teen fleeing a drug gang. Their encounter forces them to confront their pasts while navigating the harsh realities they face."
An American Bombing: The Road to April 19th,"The events surrounding the 1995 Oklahoma City bombing, tracing its roots in anti-government sentiment and examining its lasting impact."
An Education,A look into the educational methods of a college prep.
An Ordinary Killer,Based on one of the longest cold case files - this 28 year old case was eventually solved by multiple generations of determined detectives and new emerging criminal sciences. This is the 2024 remastered version of the film by CDI.
Anand Sreebala,"A common man's quest to unravel a law student's mysterious death leads him down a dark path, confronting secrets and his own demons in a high-stakes investigation."
Andhagan,"A piano player pretending to be visually-impaired, unwittingly becomes entangled in a number of problems as he witnesses the murder of a former film actor."
Angry Squad: Civil Servants & Seven Swindlers,After being humiliated by a tax cheat a mild mannered civil servant assembles a squad of misfits to try to take revenge.
Anweshippin Kandethum,Revolves around two major crimes that shook kerala and the subsequent inquiry into the cases by sop.
Anyone Else But Me,A man takes an acting exercise too far and must deal with the consequences.
Aranam,"The backdrop of a village called Aranthangi, and the central drama is focused on the efforts of a foster son of a dead zamindar."
Armor,A father and son working as security guards for an armored truck company encounter a team of would-be robbers while on a bridge. They become trapped and must come up with a plan to escape and ensure their survival.
Arrive Alive,N/A
Art of War,N/A
Assault in Progress,"Overwhelmed by debt and family problems, a dentist tries to rob a bank office, keeping the Dominican society in suspense for 14 hours."
Ata Nirjon Duporiya,"In a sexually starved society of a third world country, a young couple plans to spend some intimate moments together and while doing so they become victim of taboo where the system exploits them."
Atithi,"Three highly educated individuals murder a state minister and, in a desperate bid to escape, take a family hostage. A determined police officer takes on the investigation, navigating through the complexities of the case before finally."
Atlanta 10.02,"Depicts real-life events in Atlanta, exploring how perceived safety can be deceptive, as both day and night harbor dangers. The harsh realities of a city where peril lurks in unexpected places, challenging assumptions about security."
Ato Kwabena,"A young boy's sister is kidnapped by neighborhood criminals, prompting him to embark on a perilous mission to rescue her. With few resources and little means to defend himself, his journey plunges into a treacherous descent into danger."
Auron Mein Kahan Dum Tha,"After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed."
Baba Yaga,"Fed up with the violent corruption in the city, an NYPD cop who loses his partner quits the force to carry out his own brand of vigilante justice."
Baby Assassins: Nice Days,Teenage assassins Chisato and Mahiro visit the coastal city of Miyazaki when they unexpectedly cross paths with a bloodthirsty assassin who's looking to add to his personal body count.
Baby John,Revolves around a DCP who transforms and travels to a different place in order to safeguard his family.
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
Bad Knight in Gotham,N/A
Badland Hunters,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists."
Bagheera,"When society turns into a jungle, just one predator cries out for justice."
Ballistic,"Beck, a homeless veteran, discovers his sister's killer is back on the streets after being released from prison earlier than expected, sending him on a downward spiral of vengeance."
Bangkok Breaking: Heaven and Hell,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner."
Bangkok Dog,The story focuses on an American agent sent to a dangerous undercover mission in Thailand to dismantle a sadistic crime lord.
Barron's Cove,"After his son is tragically killed, a grieving father with a history of violence kidnaps the child responsible, igniting a frenzied manhunt fueled by a powerful politician, the father of the kidnapped boy."
Bars,Two Sisters. One commits a crime the other is forced to do the time.
Bastar: The Naxal Story,Based on the real-life incidents of Naxals in Chattisgarh - The Bastar rebellion broke out in 1910 in present day Chattisgarh.
