Title,Storyline
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
14 Days Love,"During COVID lockdown, Chitra stays with her aunt and brother-in-law Chinna in Hyderabad. As they spend time together, forbidden feelings develop between Chitra and Chinna, threatening family harmony."
1600 Meter,1600 Meter is feature film based on Haryana.
2 Steps Forward,"""Davis, dealing with a loss of a loved one confides in his close friend Eric which leads to the question if God abandons people"""
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
2nd Miracle in Cell No. 7,"Two years have passed, and Kartika lives with Hendro and Linda. However, when Hendro agrees to adopt Kartika, the Social Service prevents it. The inmates in cell No. 7 and Hendro decide to fight for justice in their own way."
"7 dney, 7 nochey","The once friendly and loving Gureev family finds itself on the verge of divorce. Spouses Olga and Sergey have moved away from each other, and children Anton and Nastya worry about their parents. Sergey, a fashion photographer, receives an assignment to fly to an exhibition. He is trying to cancel the business trip because it is Nastya's birthday. Olga, once again disappointed in her husband's actions, is ready to file for divorce... But eight-year-old Nastya, their daughter, buys a trip to Armenia for the whole family with the donated money. Fun adventures await the Gureev family, including an immersion in the flavor of a local wedding, which is celebrated for just 7 days and 7 nights. They will also pass their own tests, which will help them understand what is most valuable and important in this life."
A Brother and 7 Siblings,"After the untimely death of his older siblings, a struggling young architect suddenly becomes a ""single-parent"" for his nephews. When opportunity for a better life arises, he must choose between his love life, career, or his nephews."
A Carpenter's Prayer,"The inspiring true story of a pastor and his family building a new church and a troubled carpenter who becomes their unlikely source of hope, proving that faith in God is the true path to redemption, even in the most tragic circumstances."
A Christmas Miracle,"Family rallies to save local community center's Christmas Jubilee from losing funding, ensuring a merry celebration for all, especially children."
