Title,Storyline
#Models Wanted,N/A
'Descontrol',"A high school student's virtual reality gaming habit evolves into a life-altering struggle, pushing him to rock bottom. Through recovery, he finds a new purpose and dedicates his life to helping others balance technology use."
(Pri)sons,"When an underground marketplace of illegal activities is besieged by an army of bloodthirsty assassins, a ragtag group of criminals must band together to fight for survival."
100 Crores,"When Sundarlal finds out about an IT Raid on his properties, he hides 100 Crores in his bungalow. But when he can't find the money and dies in shock. Where did the money go? Was is stolen?"
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
12 Gaun,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice."
12 to Midnight,"A detective, despondent after the murder of his wife and forced to resign, is brought back to the force when a serial killer appears to be taunting him and turns out to be superhuman."
1980 Lo Radhekrishna,In 1980 How Krishna won love in the battle between caste and love in a village called Krishna Lanka. How he changed the gallows from caste madness. The story of how Radha won Krishna's love.
200% Wolf,"When Freddy Lupin's wayward wish transforms him into a werewolf and deposits a mischievous moon sprite on earth, Freddy must restore the cosmic order before the earth and moon collide."
2000s: Bad Fellas,"Four friends become members of a criminal group. The guys make their way in the criminal world and sink deeper and deeper into it, but a chain of fatal events with criminal showdowns, shootings and police raids put the lives of the protagonists on the line. The 2000s is a time of changes and the beginning of a new stage."
2032: Pako Varissuolta,N/A
24 Hours to D-Day,A squad of American paratroopers are dropped behind enemy lines in Nazi occupied France to prepare a signal beacon to guide Allied forces in preparation for D-Day.
3rd Street,Ever evolving lives of teens growing up in the ghetto.
40 Acres,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources."
5 Pounds of Pressure,N/A
6 Hours Away,It follows ex-Marine Chris Montano after his wife goes missing during a business trip. He then finds himself in a race against time to save her.
7 Melek,7 Melek tells the story of 7 female special forces police who struggled on the night of 15 July.
72 Hours,"Two brothers, one an FBI agent and the other an international money launderer, put aside their differences and band together to save their family by going after a perilous extraction deep in kingpin territory."
A Dance of Hopper,Hopper he's the creature hunter his job is hunting creature now he face with the creature mouse from the dark willie his playground getting invade by the mouse creature now he have to rid them out of the world
A Hero is Born,"A descendant of a martial arts family, developed through the light of benevolence, fulfils their responsibility, resolves internal conflicts, rescues fellow disciples to return to their original aspirations, and ultimately finds true love."
A Legend,An archeologist noticed that the texture of the relics discovered during the excavation of a glacier closely resembled a jade pendant seen in one of his dreams. He and his team then embark on an expedition into the depths of the glacier.
A Lonely Place to Die,"In a volatile city, a secret plan sparks a power struggle, entangling a prominent family in betrayal and ambition. The battle for control threatens the city's future, testing loyalty and the price of power."
A Love Story of Assassin,N/A
A Man is Dead,"Pushed to the edge, a reclusive man takes vengeance on those that wronged him."
