Title,Storyline
#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as the group is murdered one by one."
#Models Wanted,N/A
"...Mayombe, Paula?",N/A
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story."
10/31 Part 4,N/A
1999 Hiraeth,The choices made by Ramfangzaua sets off a chain reaction that influences not only his life but the lives of those around him.
200KG Vampire,"The residents of Kampung Terbalik become victims of attacks by Pontianak Melati and Pontianak Mewangi, who are constantly hungry. The situation becomes even more chaotic when the villagers mistakenly believe that they are blood-sucking pontianaks, causing many villagers to fall into comas."
21.4,"Samar, a 2nd-year medical student, wonders if the soul has weight. He asks his professor for permission to conduct an experiment to measure it, but his professor refuses, citing it as inhuman and against the law."
7 Vidas,"Un gato extraviado por una confusión, un fumigador que llega a un edificio inteligente, encargados de edificios muy extraños, todos confluye en una comedia inimaginable."
7/G,Revolves around the lives of two women who are connected by a mysterious turn of events.
9 Windows,"After a tragic accident that killed her parents, Liza is unable to walk and spends her days trolling vloggers. When she witnesses a murder online, the police dismisses it as a hoax, and it's up to Liza to find the killer."
A Coffin of Stars,"In rural Virginia, a man unwittingly discovers a mysterious cosmic force haunting not only the woods beyond his property, but the very starlight above. Soon, he will come to realize that this isn't an abduction he's facing...it's revenge."
A Cold Grave,"A chilling silence follows a girl's disappearance in a haunted forest. Prompting her brother to brave the dark woods, he unveils the secrets that lurk beneath, and a chilling mystery awaits."
A Girl Upstairs,"Suzie lives in the downstairs flat and is often annoyed by her upstairs neightbour, Emily, who plays her music too loud late at night. However when Emily disappears Suzie believes the police are not doing enough and starts to investigate."
A Knife in the Dark,"In the Thornton mansion, the idle rich spend their days enjoy their wealth and power. But this mysterious family has a deadly secret: who is wearing the mask - and wielding a knife in the dark? And who will be their next victim?"
A Loose Skeleton,"The host to a cocktail party where everyone is dressed from a different time period never shows up, until his body is found in an alley outside the function; by a 70's psychiatrist and his patient a 60's Mod gal who are having an affair."
A Place Called Silence,"Chen Yutong, a girl's middle school student, was bullied at school, but her mother Li Han was unable to save her daughter from the ""hell"". Everyone around her turned a blind eye, and a collective silence brewed greater violence."
A Question of Guilt,"An investigative journalist risks her life working outside the law to clear her brother of a murder, despite putting others in deadly jeopardy."
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
A Second Glance,"Is Zimife experiencing hallucinations, or has her presumed deceased husband returned to life?"
