Title,Storyline
#AMFAD: All My Friends Are Dead,"A group of college friends rent an Airbnb for the biggest music festival of the year. A weekend of partying quickly takes a turn, as the group is murdered one by one."
'Descontrol',"A high school student's virtual reality gaming habit evolves into a life-altering struggle, pushing him to rock bottom. Through recovery, he finds a new purpose and dedicates his life to helping others balance technology use."
"...Mayombe, Paula?",N/A
1 Million Followers,A small-town girl who is invited by a popular influencer to a mansion in Thailand where the beautiful mingle as they build Karissa up to a million followers. Things take a dark turn when they discover who the sponsor behind this event is.
10 Days of a Curious Man,"When a young woman goes missing in Istanbul, a jaded writer gets tangled up in a deadly chain of events as he sets out to find her and a good story."
10/31 Part 4,N/A
105 Minutes,"A young woman living independently experiences unsettling occurrences after shopping. As tension builds, the audience joins her thrilling journey into the unknown."
10FT Down,"In a late-night bar, two strangers ignite a chilling descent into madness, blurring the lines between captor and captive in a thrilling psychological game."
11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government."
1134,"Inspired from real ATM robberies that took place in Hyderabad, revolves around a series of sequential ATM robberies that have a pattern. Will the robbers be caught?"
12 to Midnight,"A detective, despondent after the murder of his wife and forced to resign, is brought back to the force when a serial killer appears to be taunting him and turns out to be superhuman."
13th Summer,"During their annual vacation at an isolated beach, Ben and Vee unexpectedly encounter a mysterious backpacker who draws them into a twisted web of lies, deceit and ultimately, revenge."
1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped."
2 Days in Quito,"A young taxi driver desperate to change his stars, earns a life changing opportunity, but when all is not as it seems, he finds his whole world irreparably altered in two eventful days."
2029,"In a post-apocalyptic universe, clans compete to acquire the last stocks of Ridex, an antidote allowing survival after a virus has decimated life on Earth. Between stalking and betrayals, the fate of Mankind rests on a few chosen by God."
2073,A woman living in a ruined Earth tries to comprehend how the world was destroyed.
26 January,N/A
2B Honest,"Murder, love, insurance policies. On the run from the law, Kato Roberts stumbles into a secret community that throws him into a world of chaos."
30 to 45,A filmmaker with limited success tries to survive between projects as his situation becomes increasingly uncertain.
31st Movie,N/A
37 : L'ombre et la proie,"A trucker transporting a woman called Thirty-Seven grows suspicious of her strange behavior, until it's revealed he may not be as blameless as he seems."
3Devi,"3Devi is a riveting story of a leading actress, an entrepreneur and bride-to-be, and an assistant director who are fed up with male chauvinism in their respective fields. On a particularly trying day, the actress and the assistant director leave their film set in the middle of a shoot, while the bride leaves her groom at the church altar. The three women band together to take a relaxing hiatus away from their problems. But a sudden turn of events forces them into a battle for their lives."
40 Acres,"In a post-apocalyptic world with food scarcity, a Black family of Canadian farmers descended from American Civil War migrants defend their homestead against cannibals trying to seize their resources."
4N6,"While enduring constant harassment from an authoritative police officer, Naisha and her colleague team up to solve cases."
4PM,A suspense thriller depicting a peaceful couple's daily life slowly turning into a nightmare due to a neighbor who visits every day at 4pm.
5lbs of Pressure,"Trying to start over, Adam searches for redemption as he returns to his old neighborhood to put to rest his demons while the brother of the man he killed seeks revenge."
7 Keys,"Daniel has kept the keys to the places he's lived in. Lena wants to use them - on the ultimate tour of London, a weekend of getting to know each other intimately in other people's homes. This risky fantasy soon becomes a deadly threat."
72 Hours,"Two brothers, one an FBI agent and the other an international money launderer, put aside their differences and band together to save their family by going after a perilous extraction deep in kingpin territory."
8PM to 8AM,N/A
9 Windows,"After a tragic accident that killed her parents, Liza is unable to walk and spends her days trolling vloggers. When she witnesses a murder online, the police dismisses it as a hoax, and it's up to Liza to find the killer."
A Christmas Gamble,"Former sports gambling addict, Chance needs $60,000 to save his mother from nursing home eviction. So he falls back into his old habits, only to learn he's never lost a bet on Christmas. Is this the Christmas miracle he's been waiting for? Or just an addict who can't control himself?"
A Coffin of Stars,"In rural Virginia, a man unwittingly discovers a mysterious cosmic force haunting not only the woods beyond his property, but the very starlight above. Soon, he will come to realize that this isn't an abduction he's facing...it's revenge."
A Cold Grave,"A chilling silence follows a girl's disappearance in a haunted forest. Prompting her brother to brave the dark woods, he unveils the secrets that lurk beneath, and a chilling mystery awaits."
A Dangerous Prey,"Keisha flees urban gentrification for a fresh start, only to be targeted by racists in her new home. She fights to survive as she turns the tables on her predators in a battle for survival as she herself becomes a dangerous prey."
A Day for Driving,"When Emilio engages with an unknown caller, his dull existence suddenly becomes a life or death rush, and driving may be his only shot at survival."
A Desert,"A photographer's road trip takes a dark turn when he befriends a reckless couple, plunging him into a nightmarish neo-noir spiral of unpredictable horror."
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
A Fisherman's Tale,"Legend says that long ago, nature thrived in harmony around the lake, until evil arrived. Men, blinded by dark desires, brought fear, hate, and death. Fishermen call it La Miringua, the one that drags you in the lake for your sins."
A Girl with Closed Eyes,A murder suspect and detective with a shared past reunite to investigate the killing of a bestselling author. The suspect claims the author had kidnapped her years ago.
A Good Man 2,"Trying to start a better life, a man after leaving a trail of his past finds a woman that's no better than the last one he left and pays the ultimate price"
A Hot Mess,"There's a wildfire at a rural holiday home retreat, school friends must escape before the fire spreads, or before the arsonist gets to them."
A Killer Inside,A savvy serial killer gets more than he bargains for when he kidnaps the wrong victim.
A Killer in the House,"When a psycho killer becomes obsessed with a beautiful girl, he does everything he can to win her over, including killing everybody in his way. This is a study of a psycho killer, his prey, and how far he is willing to go."
A Knife in the Dark,"In the Thornton mansion, the idle rich spend their days enjoy their wealth and power. But this mysterious family has a deadly secret: who is wearing the mask - and wielding a knife in the dark? And who will be their next victim?"
A Man is Dead,"Pushed to the edge, a reclusive man takes vengeance on those that wronged him."
A Mensageira,"Íris is a bailiff. She has difficulty to see the truth. After the disappearance of an activist, Íris will try to understand the true meaning of the word ""justice""."
A Mirror of Deception,A luxury realtor faces memory gaps and identity doubts while unknown forces scheme to steal her wealthy lifestyle and sense of self.
A Mistake,"In the midst of a new scheme to publicly report surgeons' performance, a gifted surgeon's life is thrown into disarray as her colleagues begin to close ranks, and even her partner who is a nurse at the hospital turns her back on her."
A Nanny's Revenge,"After hiring a seemingly innocuous nanny, a couple realizes she has sinister motives that threaten to destroy their family."
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.
A Sacrifice,"American social psychologist Ben Monroe investigates a local cult connected to a disturbing event, while his daughter becomes embroiled with a mysterious local boy."
A Savior Red,"Five friends face life-threatening consequences after a botched drug deal, testing their friendship's limits as they navigate intense terror and brutality while fighting for survival."
A Silent Crime,N/A
A Strange House,"Amemiya is an unpopular Youtuber who specializes in the occult. One day, his manager brings him a floor plan with an inscrutable point. With the help of Kurihara and Yuzuki, he begins to look into the plan and reveal the mystery behind."
A Stranger by the Hill,"Mahi, an NRI photographer visiting her late mother's beloved Manali, meets charming teacher Angad. After a passionate night together, she finds herself locked in and trapped in an increasingly dangerous situation."
A Stranger's Child,"Soon after Donna wakes up in the hospital with amnesia and a baby, news breaks of a kidnapped baby, causing Donna to question if the baby is hers."
A Szobor,"A film about our present, about what life is like here today and how we relate to each other in Hungary. Dewie Phillip used to work as a postman, and now, as a pensioner, new paths open up for him: he becomes the guardian of a statue."
A Vanished Puppet,N/A
A Widow Seduced,"A career-driven widow falls for a charming businessman that she meets online, only to discover that her new beau has a deadly secret."
A kiút,István wakes up in a psychiatric hospital which has been closed for a long time. Will he get out or will he be lost forever in this cursed place?
A yard of jackals,Follows a modest middle-aged man who's neighborhood's peace is disrupted when a gang of menacing neighbors take over the street.
AK47,N/A
Aarambham,"Prisoner no 299 escapes from Kalaghati jail leaving no clues behind. However, two detectives hired by the police department investigated the case and found something unbelievable."
Aatmanirbhar Bharat,"Bharat, a young automobile scientist finds himself trapped in a dilapidated space, threatened to leak the details of his revolutionary invention. All he remembers is that he was in a restaurant with a couple of white collared businessmen alongside, negotiating a deal."
Abaddon's Pit,"Dave blames himself for the death of his wife Samara. He moves to the abandoned family farm to recover. There, he connects with his cousin Gareth. When they find a bottomless pit that changes everything that enters it, they become obsessed with its secrets."
Abakwa,"The production of the highly anticipated crime drama, ABAKWA, has wrapped up, with the film set to premiere later this year. Directed by Song Nestor and based on a true story, ABAKWA explores the devastating effects of an illegal drug made from human bones called ""Kayouk."" The story centers on a former crime lord who, haunted by his past, seeks redemption by repairing the community he once destroyed. After serving 35 years in prison, he teams up with a law enforcement officer to dismantle a criminal syndicate involved in human trafficking, rape, and the production and distribution of Kayouk. This mission offers him a chance to right the wrongs of his past. ABAKWA is more than just a movie; it is a visceral exploration of the devastating consequences of drug abuse and a poignant tribute to the resilient spirit of the people of Bamenda, popularly called Abakwa. The gripping narrative not only highlights the scourge of drug abuse but also underscores the universal dangers of illicit activities, making it a must-watch for education and awareness purposes across Africa and the world. ""Our motivation behind writing this movie was to shine a light on the struggles and triumphs of the people of Abakwa and the negative effects of the Kayouk drug,"" said co-writers Roy Amabo and Song Nestor. ""While the film is set in Cameroon, the dangers of drug abuse and illicit activities portrayed are universal."""
Abductee,One man's descent into madness as he tries to discover what comes for him in the middle of the night.
Abduction Chronicles,"Based on true events, Abduction Chronicles gives a first-person point of view of the horror and violence that goes along with human trafficking in the US."
Abhi,A kashmiri boy who in difficult circumstances as a child is forced to leave his home in IOK with his elder brother and come to AJK. Zara who comes to visit Kashmir force him to come to Lahore where he got mistakenly kidnapped.
Abhirami,"'Abhirami' is a story about a young lady who lives in Dubai working as a nurse. She is very active on social media platforms. She becomes viral after a post on her social media account where she films a video with a famous scientist who was living a secluded life for a while. After the incident, a PR company hires her for a year and she enjoys her sudden celebrity status. She is invited to various events, interviews etc. She becomes a star overnight. Slowly she finds out that she has lost her freedom and is trapped in the grapple of the company. She cannot decide her own affairs without the consent of the company. She suffers huge losses personally too. Her would-be husband becomes distant from her. She is also threatened by the company to pay an enormous amount as compensation if she breaches her contract. She is plunged into depression. She resolves to make a comeback with the help of the same person who featured with her in the viral post. She finally breaks the chain and emerges out of the virtual world to the real world."
Abigail,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Abnormal: Buas,A secret society that developed a superhuman program to be their spies and assassins. One of the superhumans escaped and took refuge in a house where a family lives. Things went out of hand when three robbers broke into the house.
Above the Knee,"Amir has a secret. He's tormented by visions of his leg rotting and longs to cut it off, convinced it doesn't belong to him. So, he devises a plan - one that will drag everyone around him into his relentless quest for a dark redemption."
Abraham Ozler,"Revolves around the personal and professional lives of veteran cop Abraham Ozler, ACP Trichur, who at one time has to take up a serial killing case and the mysterious hunt begins."
Absolution,"An aging gangster attempts to reconnect with his children and rectify the mistakes in his past, but the criminal underworld won't loosen their grip willingly."
Ad Absurdum,"Augusto and Santino, two budding civil servants, are on the cusp of decadence. Both in their lives and in the political career they are pursuing, they are mired in total failure."
Admonition,"When Edward Cannon is diagnosed with terminal cancer, his doctor sends him to a therapist with a very deep and personal understanding of what living with cancer feels like. This unlikely connection unravels his entire world."
Adopted,"A couple's hopes of adopting the perfect child unravel as their new son reveals a dark side, bringing terror into their lives."
Adrishya Awaaz,"Rajveer and his wife Anaya journey to a secluded villa, only to confront a twisted web of deceit and murder. As they delve deeper, they uncover a blind landlord Mr. Khosla and a mysterious housemaid Didi."
Afraid,The Pike family is selected to test a new home device: a digital assistant called AIA. AIA learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing - and no one - gets in her family's way.
African American Psycho: The Hip Hop Freak,"Caught between his life in the spotlight and the private dark side he keeps hidden, a rap artist and mogul struggles to maintain his grip on reality."
Aftergames,"A man seeking death and a woman escaping life attempt to reconcile a decades-long cycle of vengeance with more violence, contrary to the cosmic plan."
Aftermath,"A returning war veteran, stricken with PTSD, unwittingly gets trapped with his teenage sister on Boston's Tobin Memorial Bridge as a heavily weaponized group of ex-military revolutionists take everyone hostage."
Against the Spread,"In the rural South, a down-and-out gambling addict reignites a deep-rooted rivalry with a ruthless loan shark to finance his nimwitted nephew's half-baked scheme."
Agapouse ta louloudia perissotero,Three brothers build an unusual time-machine in order to bring their long-dead mother back to life.
Agastya - Chapter 1,"Saurya is haunted by a difficult past and grapples with his troubled mind. After a year, his brother embarks on a quest to find him. A touching story unfolds as Nisan delves into Saurya's history."
Agathokakological,"Nisha gets frequent blackmail calls from a Pvt number and she ignores it. Initially, it looks like a blackmail attempt, but things take a different turn as Nisha gets into trouble regularly. SI Ajith, has to figure out who's behind this."
Agent Jayne,"The most challenging mission of a female agent to save the youth from deadly drugs. This is a story about a female agent who struggles to save the suffering youth from a peddler, a mastermind and whistle stopper."
"Agnes, Beauty is a Painted Hell",A struggling fashion designer becomes entrapped by her benefactor.
Agrinai,Three most wanted killers have managed to escape from a secret experiment lab and they start to kill the villagers.
Ahalya,"Indra, a Kolkata gym instructor, has a break-up and befriends an imaginary girl from above. Moving to a new apartment and gym, he links the girl to past abuse and his current relationship, highlighting societal prejudices."
Aham Reboot,A down on his luck RJ gets an unexpected on air call from a woman claiming to be kidnapped
Aiden,"In a desperate bid for survival, Aiden flees the suffocating grip of domestic violence and seeks refuge in a remote cabin, where unconventional therapy sessions force him to confront his past, which opens an intriguing twist."
Air Force One Down,A rookie agent aboard the hijacked Air Force One battle terrorists threatening the energy deal and the president.
"Aire, Just Breathe","In a nearby future a conservation biologist battles extinction with the help of an A.I., but after the arrival of an enigmatic traveler with a hidden past, the tension in this ménage à trois will be as toxic as the world they live in."
Ajaan,Feeling of suspense and thrill every moment.
Akkaran,Veerapandi is an Ordinary Wrestler Living in Madurai and Has Two Daughters in Which His Second Daughter Priya is Killed by Two Unknowns. How He Takes Revenge on Them in a Different Way is the Rest of the Story
Alchemy of Solitude,Activists turned assassins try to end a race war but are forced to choose between honoring their ancestors or losing themselves.
Alemari E Baduku,Alemari E Baduku revolves around how small misunderstandings can lead to unimaginable disasters.
Alex and Mia's Awesome Movie!!,"Alex is a student in middle school and has a crush on a girl in his school. He has been trying to impress her by being kind and helpful, but unfortunately, a bully in the school has been making his life miserable. The bully constantly teases and taunts Alex, making it difficult for him to focus on his studies and personal life. One day, Alex decides to confront the bully and stand up for himself. He is determined to prove that he is not someone to be messed with and that he won't tolerate being bullied anymore until a fight is settled."
Algiers,"The kidnapping of a little girl creates tension and suspicion in Algiers. Only Dounia, a brilliant psychiatrist, and Sami, a police inspector, can unearth the demons of the past."
Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
